Key,Type,Desc,Vietnamese
open_window_info,0,,Mở cửa sổ là cách lý tưởng để làm mát phòng trong những ngày hè oi bức.
closed_window_info,0,,Đóng cửa sổ giúp giữ ấm và ngăn gió lạnh lùa vào mùa đông.
torch_state_on,0,,Bật
torch_state_off,0,,Tắt
torch_on_info,0,,Ngọn lửa này tỏa ra ánh sáng và hơi ấm khi được thắp sáng
torch_off_info,0,,Không tỏa ra ánh sáng hay nhiệt lượng khi bị dập tắt
lock_state_locked,0,,Đã khóa
lock_state_unlocked,0,,Mặc định
lock_state_always_open,0,,Luôn mở
locked_door_info,0,,Cánh cửa này bị khóa với tất cả mọi người
unlocked_door_info,0,,"Cửa cho phép đi qua: Dân làng, NPC thân thiện, thú cưng và một số động vật nuôi như chó mèo.
Cửa chặn lại: Kẻ thù, NPC hung dữ và động vật hoang dã."
unlocked_barn_door_info,0,,Bất kỳ ai cũng có thể đi qua cánh cửa này.
always_open_door_info,0,,Bất kỳ ai cũng có thể đi qua cánh cửa này mà không bị giảm tốc độ di chuyển.
forbidden_resource,0,,Bị Cấm Thu Gom
error_no_possible_path,0,,Không tìm thấy đường đi tới <object>!
error_autoforbid_message,0,,<object>: Bị cấm do không có đường đi tới đó
forbidden_structure_info,0,,"Công trình này đang bị <LinkAlmanac=""Tutorialforbid"">cấm</link>. Dân làng sẽ không tương tác cho đến khi được cho phép. Bấm 'Cho phép' hoặc dùng lệnh cho phép để mở lại."
forbidden_resource_info,0,,"Đống tài nguyên này đang ở trạng thái <LinkAlmanac=""Tutorialforbid"">Bị cấm</link>. Dân làng sẽ không tương tác hay khuân vác cho tới khi được bạn cho phép. Nhấp vào nút 'Cho phép' hoặc dùng lệnh cho phép trên thanh công cụ."
forbidden_shelf_info,0,,"Lưu trữ tài nguyên tại đây đang bị <LinkAlmanac=""Tutorialforbid"">cấm</link>. Dân làng sẽ không cất hoặc lấy tài nguyên ra cho đến khi được cho phép. Bấm 'Cho phép' hoặc dùng lệnh cho phép để mở lại."
armor_damage,0,,Sát thương phá giáp
armor_hitpoints_percentage,0,,Tỉ lệ độ bền giáp
armor_rating,0,,Chỉ số phòng ngự giáp
attack_duration,0,,Thời gian tấn công
banish_worker_confirm,0,,Trục xuất dân làng này sẽ ảnh hưởng tiêu cực tới tâm lý những người còn lại. Bạn có chắc chắn muốn tiếp tục?
base_damage,0,,Sát thương vũ khí trang bị
base_range,0,,Tầm bắn vũ khí trang bị
base_yield_peak,0,,Sản lượng tối đa khi thu hoạch
base_yeald_ripe,0,,Sản lượng cơ bản khi chín
base_yeald_phase,0,,Sản lượng ở giai đoạn này
body_armor,0,,Giáp Thân
building_damage,0,,Mức Độ Hư Hại
building_error_not_reachable,0,,Không thể tiếp cận vị trí công trình
building_error_no_resources,0,,Không có đủ vật liệu được phép sử dụng
building_error_no_skilled_construction_worker,0,,Không có dân làng nào đủ trình độ kỹ năng xây dựng yêu cầu
building_phase_0,0,,BẢN THIẾT KẾ
building_phase_1,0,,Giai đoạn lập thiết kế
building_phase_2,0,,Giai đoạn thi công xây dựng
cover_amount,0,,Mức độ che chắn
ranged_cover_amount,0,,Mức độ che chắn tầm xa
melee_cover_amount,0,,Mức độ che chắn cận chiến
cover_percentage,0,,Hiệu quả che chắn
crop_freeze_temperature,0,,Nhiệt độ gây chết cóng
crop_grow_time,0,,Thời gian sinh trưởng
crop_grow_life_span,0,,Vòng đời sinh trưởng
crop_stop_temperature,0,,Nhiệt độ ngừng sinh trưởng
crop_min_sow_temperature,0,,Nhiệt độ gieo hạt tối thiểu
damage,0,,Sát thương
damage_per_second,0,,Sát thương mỗi giây
damage_per_second_ab,0,,DPS
dead,0,,Đã chết
dig_resource_health,0,,Độ cứng (Độ bền đào bới)
durability,0,,Độ bền
effect_reason_attribute_decomposespeed,0,,Đang mục nát do
effect_reason_attribute_rottingspeed,0,,Đang thối rữa do
effect_reason_ground,0,,Loại mặt đất
effect_reason_temperature,0,,Nhiệt độ
high_temperature,0,,Nhiệt độ cao
effect_reason_time_decomposespeed,0,,"Đống đồ sẽ <LinkAlmanac=""Systemdecomposition"">phân hủy</link> sau"
effect_reason_time_rottingspeed,0,,"Đống đồ sẽ <LinkAlmanac=""Systemdecomposition"">thối rữa</link> sau"
effect_reason_weather,0,,Không có mái
end_position,0,,Vị trí kết thúc
free_spaces,0,,Ô trống khả dụng
game_name,0,,Going Medieval
general_Celsius,0,,Độ C
general_Fahrenheit,0,,Độ F
general_Kelvin,0,,Độ K
general_accept,0,,Chấp nhận
general_attack,0,,Tấn công
general_autosave_frequency,0,,Tự động lưu sau mỗi (ngày)
general_autumn,0,,Mùa Thu
general_xp,0,,Kinh nghiệm (XP)
general_back,0,,Quay lại
general_back_almanac,0,,Mục trước
general_next_alamanc,0,,Tiếp theo
general_base_value,0,,Giá trị cơ bản của thuộc tính
general_blocked,0,,Ô chứa bị chặn
general_cancel,0,,Hủy bỏ
general_close,0,,Đóng
general_clothes,0,,Quần áo
general_consume,0,,Tiêu thụ
general_drink,0,,Uống
general_copy,0,,Sao chép
general_damage,0,,Sát thương cơ bản
general_day,0,,Ngày
general_days,0,,ngày
general_deliver,0,,Vận chuyển đạn dược
general_description,0,,Mô tả
general_drop,0,,Vứt vật phẩm
general_edit,0,,Chỉnh sửa
general_effects,0,,Hiệu ứng
general_empty,0,,Trống
general_enemy,0,,Kẻ thù
general_equip,0,,Trang bị
general_finish,0,,Hoàn thành
general_headware,0,,Mũ nón
general_info,0,,Thông tin
general_item_slot_body,0,,Ô trang bị thân thể
general_item_slot_bodyarmor,0,,Ô trang bị giáp thân
general_item_slot_head,0,,Ô trang bị đầu
general_item_slot_lefthand,0,,Ô trang bị tay trái
general_item_slot_righthand,0,,Ô trang bị tay phải
general_lock_camera,0,,Chuyển góc nhìn tới
general_max_temperature,0,,Nhiệt độ thoải mái tối đa
general_maxLevel,0,,Tối đa
general_min_temperature,0,,Nhiệt độ thoải mái tối thiểu
general_next,0,,Tiếp theo
general_no,0,,Không
general_of,0,,của
general_ok,0,,Đồng ý
general_operate,0,,Vận hành
general_overcast,0,,Trời âm u
general_paste,0,,Dán
general_paste_all,0,,Dán tất cả
general_paste_selected,0,,Dán phần đã chọn
general_requirements,0,,Yêu cầu
general_reset,0,,Đặt lại
general_skill_level_up,0,,kỹ năng hiện đã đạt cấp
general_spring,0,,Mùa Xuân
general_summer,0,,Mùa Hè
general_symbol_Celsius,0,,°C
general_symbol_Fahrenheit,0,,°F
general_symbol_Kelvin,0,,°K
general_temperature,0,,Nhiệt độ
general_temperature_units,0,,Đơn vị nhiệt độ
general_to,0,,đến
general_unlocks,0,,Mở khóa
general_villager,0,,Dân làng
general_winter,0,,Mùa Đông
general_yes,0,,Có
global_position,0,,Tọa độ bản đồ
growth_halted,0,,Đã ngừng sinh trưởng
head_armor,0,,Mũ Trụ Đầu
hour_type_any_name,0,,Tự do làm gì cũng được
hour_type_tooltip_convalescing,0,,Sẽ ưu tiên dưỡng thương ngay cả khi công việc bị vô hiệu hóa trong bảng phân công
hour_type_tooltip_sleeping,0,,Không được ngủ trong khung giờ này
hour_type_tooltip_work,0,,Sẽ ưu tiên các công việc được thiết lập trong bảng công việc
hour_type_tooltip_role,0,,Sẽ ưu tiên thực hiện nhiệm vụ theo vai trò trước mọi việc khác
hour_type_tooltip_leisure,0,,Sẽ ưu tiên tham gia hoạt động giải trí ngay cả khi không bị thiếu hụt
hour_type_tooltip_anything,0,,"Sẽ ưu tiên đáp ứng nhu cầu cá nhân. Khi đã thỏa mãn, sẽ đi làm việc."
hour_type_tooltip_sleep,0,,Sẽ ưu tiên giấc ngủ hơn hầu hết mọi hoạt động khác.
hour_type_tooltip_nosleep,0,,Sẽ không bao giờ ngủ trong khung giờ này
hour_type_draft_name,0,,Động viên chiến đấu
hour_type_leisure_name,0,,Giải trí
hour_type_psychotic_name,0,,Tuyệt vọng
hour_type_sleep_name,0,,Ngủ
hour_type_working_name,0,,Làm việc
hour_type_caravan_name,0,,Chuẩn bị đoàn buôn
hour_type_role_job_name,0,,Nhiệm vụ chức vụ
hud_info_area,0,,Tạo bãi chứa để dân làng lưu trữ tài nguyên.
hud_info_hide_roof,0,,Ẩn phần mái để nhìn vào bên trong công trình.
hud_info_hide_room,0,,Hiển thị lớp phủ trực quan các loại phòng quy hoạch đã được nhận diện.
hud_info_jobs,0,,Phân chia công việc cho từng dân làng.
hud_info_layer_down,0,,Xem tầng bên dưới.
hud_info_layer_up,0,,Xem tầng bên trên.
hud_info_layer_additional,0,,"\nGiữ [<style=Shortcut>Ctrl</style>] + [<style=Shortcut>Lăn chuột</style>] để chuyển tầng nhanh chóng.\nGiữ [<style=Shortcut>Ctrl</style>] + <sprite=""ctrl_left_click"" index=t> vào vật thể hoặc mặt đất để nhảy tới tầng đó."
hud_info_camera_commands,0,,Hiện bảng điều khiển camera
hud_info_lock_camera_target_layer,0,,Khóa tâm camera vào tầng hiện tại
hud_info_camera_layer_up,0,,Chuyển tầng khóa camera lên trên
hud_info_camera_layer_additional,0,,\nGiữ [<style=Shortcut>Shift</style>] + [<style=Shortcut>Lăn chuột</style>] để thay đổi <style=DefaultBlue>tầng</style> mà camera đang khóa vào.
hud_info_camera_layer_down,0,,Chuyển tầng khóa camera xuống dưới
menu_action_scroll_wheel_camera_layer,0,,Trong khi giữ [<style=Shortcut>Shift</style>]\n Dùng <style=Shortcut>Lăn chuột</style> để thay đổi <style=DefaultBlue>tầng độ cao</style> mà camera khóa vào
camera_locked,0,,Tâm camera đã được khóa vào tầng <layer_number>
camera_unlocked,0,,Đã mở khóa độ cao camera
hud_info_order_allow,0,,Chọn các đống tài nguyên để cho phép hoặc cấm dân làng sử dụng.
hud_lb_order_UrgentHaul,0,,Dọn đồ khẩn cấp
hud_info_order_UrgentHaul,0,,Đánh dấu tài nguyên và vật phẩm cần ưu tiên chuyển về kho gấp
hud_info_order_cancel,0,,Hủy các mệnh lệnh đã ban hành.
hud_info_order_chopping,0,,Chỉ định cây gỗ cần đốn hạ.
hud_info_order_cleaning,0,,Mô tả dọn dẹp vệ sinh
hud_info_order_clearall,0,,"Chỉ định dọn sạch toàn bộ: đốn cây, cắt cỏ và đào khoáng."
hud_info_order_createcrops,0,,Quy hoạch vùng trồng trọt nông nghiệp.
hud_info_order_cutallvegetation,0,,Chỉ định các loại cây cỏ cần cắt dọn.
hud_info_order_cutting,0,,Chỉ định thảm thực vật cần cắt dọn và thu hoạch.
hud_info_order_deconstructing,0,,Đánh dấu chỉ định các công trình cần tháo dỡ thu hồi vật liệu.
hud_info_order_digging,0,,Đánh dấu vùng địa hình cần đào bới.
hud_info_order_tame,0,,Đánh dấu động vật để dân làng thuần hóa.
hud_info_order_train,0,,Đánh dấu động vật để dân làng huấn luyện.
hud_info_order_slaughter,0,,Đánh dấu vật nuôi cần giết mổ lấy thịt.
hud_info_order_release,0,,Đánh dấu động vật để trả về tự nhiên. (Chúng sẽ trở lại thành thú hoang và đi lại tự do trên bản đồ.)
hud_info_order_harvesting,0,,Chỉ định cây trồng đã chín cần thu hoạch.
hud_info_order_hunting,0,,Đánh dấu thú hoang cho thợ săn săn bắn.
hud_info_order_minevoxel,0,,Đào sâu hơn xuống lòng đất.
hud_info_order_mining,0,,"Chỉ định các mỏ đá, quặng sắt và đất sét cần khai thác."
hud_info_orders,0,,Danh sách các mệnh lệnh ban cho dân làng.
hud_info_pause,0,,Tạm dừng trò chơi.
hud_info_report,0,,"Giúp đỡ đội ngũ phát triển bằng cách gửi báo cáo lỗi, yêu cầu hoặc ý kiến đóng góp. Rất có thể một nông nô sẽ tiếp nhận chúng."
hud_info_research,0,,Mở khóa các công nghệ mới bằng tri thức đã tích lũy.
hud_info_resources,0,,Danh sách toàn bộ các loại tài nguyên và vật phẩm hiện có trong các kho chứa bãi trữ.
hud_info_schedule,0,,Sắp xếp thời gian biểu sinh hoạt và làm việc của dân làng.
hud_info_speed_01,0,,Tốc độ bình thường (1x)
hud_info_speed_02,0,,Tốc độ nhanh (2x)
hud_info_speed_03,0,,Tốc độ cực nhanh (5x)
hud_lb_Almanac,0,,Bách Khoa Thư
hud_lb_area,0,,Bãi chứa
hud_lb_jobs,0,,Công việc
hud_lb_world,0,,Bản đồ vùng
hud_info_world,0,,Xem bản đồ toàn vùng và các khu định cư láng giềng.
hud_lb_view_region,0,,Xem bản đồ vùng
hud_lb_view_map,0,,Xem bản đồ
hud_lb_map,0,,Xem trước bản đồ
hud_lb_order_allow,0,,Cho phép
hud_lb_order_cancel,0,,Hủy lệnh
hud_lb_order_chopping,0,,Đốn cây
hud_lb_order_cleaning,0,,Dọn dẹp
hud_lb_order_createcrops,0,,Trồng trọt
hud_lb_order_cutallvegetation,0,,Cắt cây cỏ
hud_lb_order_cutting,0,,Chặt cây
hud_lb_order_deconstructing,0,,Tháo Dỡ
hud_lb_order_digging,0,,Khai mỏ
hud_lb_order_harvesting,0,,Thu hoạch
hud_lb_order_hunting,0,,Săn bắn
hud_lb_order_minevoxel,0,,Đào đất 
hud_lb_order_mining,0,,Khai thác
hud_lb_orders,0,,Mệnh lệnh
hud_lb_orders_all,0,,Mệnh lệnh
hud_lb_pile,0,,Đống đồ
hud_lb_report,0,,Báo cáo lỗi hoặc gửi ý kiến đóng góp.
hud_lb_report_title,0,,Phản hồi
report_bug_tnx_sending,0,,Cảm ơn bạn đã gửi phản hồi! Bạn có thể tiếp tục chơi trong khi báo cáo lỗi đang được gửi đi.
hud_lb_research,0,,Nghiên cứu
hud_lb_resources,0,,Kho Tài Nguyên
hud_lb_schedule,0,,Lịch làm việc
ignores_armor,0,,Sát thương xuyên giáp
in_draft,0,,Đang động viên
inside,0,,Bên trong
low_temperature,0,,Nhiệt độ thấp
max_stack,0,,Số lượng xếp chồng tối đa
max_yield_in,0,,Sản lượng tối đa sau
menu_accessories,0,,Trang Sức & Phụ Kiện
menu_allow_all,0,,Cho Phép Toàn Bộ
menu_allow_all_prod_info,0,,Cho phép sử dụng mọi loại tài nguyên để sản xuất sản phẩm này
menu_allow_all_stock_info,0,,Cho phép lưu trữ mọi loại tài nguyên vào bãi chứa này
menu_background,0,,Lai Lịch & Nghề Nghiệp
menu_Individual,0,,Hồ Sơ Cá Nhân
menu_background_01,0,,Lai Lịch #1
menu_background_02,0,,Lai Lịch #2
menu_backstory,0,,Tiểu Sử Cuộc Đời
menu_base,0,,Cơ Sở
menu_leisure,0,,Giải Trí & Thư Giãn
menu_cancel_production,0,,Hủy Lệnh Sản Xuất
production_no_allowed_resources,0,,Không có tài nguyên nào được phép sử dụng
production_no_resources,0,,Không có đủ nguyên vật liệu
menu_clear,0,,Xóa Chọn
menu_clear_all,0,,Bỏ Chọn Tất Cả
menu_clear_all_prod_info,0,,Xóa danh sách tài nguyên được phép dùng để sản xuất sản phẩm này
menu_clear_all_stock_info,0,,Xóa toàn bộ tài nguyên khỏi danh sách cho phép
menu_click_to_jump,0,,"(<sprite=""ctrl_left_click"" index=t> để chuyển đến vị trí)"
menu_completion,0,,Hoàn thành
menu_construction,0,,Xây Dựng
menu_cropfield_size,0,,Kích thước cánh đồng
menu_decoration,0,,Khác
menu_decoration_old,0,,Trang trí
menu_decrease_count,0,,Giảm số lượng
menu_decrease_priority,0,,Giảm ưu tiên
menu_delete,0,,Xóa
menu_edit_production,0,,Sửa lệnh sản xuất
menu_equipment,0,,Trang bị
menu_floor,0,,Sàn
menu_furniture,0,,Nội Thất & Tiện Nghi
menu_hunger,0,,Thức ăn
menu_increase_count,0,,Tăng số lượng
menu_increase_priority,0,,Tăng ưu tiên
menu_misc,0,,Khác
menu_nearby_furniture,0,,Nội Thất Lân Cận
menu_nutrition,0,,Dinh dưỡng
menu_pause_production,0,,Tạm dừng sản xuất
menu_perks,0,,Đặc Điểm Tính Cách
menu_produced,0,,Sản phẩm đầu ra
menu_production,0,,Sản xuất
menu_production_queue,0,,Hàng đợi sản xuất
menu_products,0,,Sản phẩm
menu_pseudonym,0,,Biệt hiệu
menu_quality,0,,Chất lượng
menu_recipe,0,,Nguyên liệu yêu cầu
menu_roof,0,,Mái
menu_rot,0,,Độ tươi
menu_skills,0,,Kỹ Năng
menu_stockplie_size,0,,Kích thước bãi chứa
menu_storage,0,,Lượng chứa
menu_value,0,,Giá trị
menu_defense,0,,Quân sự
menu_x10,0,,"Giữ [<style=Shortcut>Control</style>] & <sprite=""ctrl_left_click"" index=t> <b>x10</b> "
menu_x100,0,,"Giữ [<style=Shortcut>Shift</style>] & <sprite=""ctrl_left_click"" index=t> <b>x100</b> "
menu_zone,0,,Khu vực
multiselect_panel,0,,Chọn nhiều đối tượng
needed_skills,0,,Kỹ năng yêu cầu
no_active_productions,0,,Không có hoạt động sản xuất nào
outside,0,,Ngoài trời
outsideFog,0,,Ngoài trời sương mù
outsideRain,0,,Ngoài trời mưa gió
outsideSnow,0,,Ngoài trời tuyết rơi
precision,0,,Độ chính xác
precision_weapon,0,,Độ chính xác của vũ khí đang trang bị
precision_falloff,0,,Độ chính xác suy giảm theo khoảng cách
priority_down,0,,Giảm toàn bộ
priority_up,0,,Tăng toàn bộ
production_amount,0,,Số lượng
production_forever,0,,Vô tận (Forever)
production_until,0,,Đến khi đạt đủ
production_amount_info,0,,Chế độ sản xuất 'Số lượng' sẽ đưa vào hàng đợi một số lượng vật phẩm hoàn chỉnh cụ thể.
production_forever_info,0,,Chế độ sản xuất 'Vô tận' sẽ tiếp tục tạo ra vật phẩm liên tục mà không dừng lại.
production_until_info,0,,Chế độ sản xuất 'Đến khi đạt đủ' sẽ tiếp tục tạo vật phẩm cho đến khi đạt số lượng mong muốn trong kho.
production_until_info_books,0,,"Chế độ sản xuất ""Cho đến khi có"" đối với sách sẽ tiếp tục cho đến khi đạt đủ số lượng sách chưa sử dụng. (Sách đã dùng cho nghiên cứu không còn tính là có sẵn)"
production_idle,0,,Sản xuất đang chờ
production_paused,0,,Sản xuất tạm dừng
production_resource_select_desc,0,,Lựa chọn các loại nguyên vật liệu được phép sử dụng để chế tạo sản phẩm này
production_skill,0,,Không thể sản xuất: chưa đạt cấp kỹ năng yêu cầu
production_target_reached,0,,Đã đạt đủ số lượng mục tiêu
production_speed,0,,Tốc độ sản xuất
range,0,,Tầm xa
research_allocated,0,,Đã phân bổ
research_allocated_info,0,,Số lượng sách đã sử dụng cho các nghiên cứu đã mở khóa.
research_available,0,,Khả dụng
research_available_info,0,,Số lượng sách khả dụng để mở khóa các nghiên cứu mới.
research_available_info_negative,0,,"Số lượng khả dụng bị âm, điều này có nghĩa là sách nghiên cứu của bạn đã bị thất lạc hoặc phá hủy. Bạn cần tạo lại đủ số sách trước khi tiếp tục mở khóa nghiên cứu mới."
resource_categories,0,,Danh Mục Tài Nguyên
roofed,0,,Dưới mái nhà
select_crop,0,,Chọn Crop
select_variant,0,,Chọn variant
skill_needed,0,,Kỹ năng cần thiết
skill_requirements,0,,Yêu cầu kỹ năng của vật phẩm
stability_link,0,,"<LinkAlmanac=""Systemstability"">Độ ổn định</link>"
start_position,0,,Vị trí bắt đầu
storage,0,,Kho chứa
menu_food_pouch,0,,Túi đựng
total_spaces,0,,Tổng số ô chứa
trebuchet_has_agent,0,,Có người đang vận hành máy bắn đá này
trebuchet_no_agent,0,,Không có ai đang vận hành máy bắn đá này
two_handed,0,,Hai tay
used_spaces,0,,Số ô đã dùng
weapon_and_modifiers,0,,Vũ khí và các chỉ số bổ trợ
weather_clear,0,,Xóa sạch
weather_fog,0,,Sương mù
weather_rain,0,,Mưa
weather_snow,0,,Tuyết rơi
weather_thunderstorm,0,,Bão giông sấm sét
weather_hailstorm,0,,Bão mưa đá
weather_heat_wave,0,,Nóng wave
weather_cold_snap,0,,Lạnh snap
building_info_resources_needed,0,,Tài nguyên cần thiết
menu_add_new,0,,Thêm mới
add_new_profile_info,0,,Thêm custom profile
delete_profile,0,,Xóa profile
research_available_error,0,,Không enough books available
research_allocated_info_negative,0,,Bạn đang thiếu một số sách cần thiết do chúng đã bị mất. Bạn cần bổ sung sách để mở khóa các mục nghiên cứu mới.
info_position,0,,Vị trí
info_walk_speed,0,,Tốc độ di chuyển
info_room,0,,Trong Phòng
info_natural_slope,0,,Độ dốc
info_stability,0,,Độ vững chắc
undrafted_stance,0,,Tư thế Phi vũ trang
auto_equip_weapon,0,,Quản Lý Trang Bị Vũ Khí
auto_equip_weapon_info,0,,Thiết lập quy tắc tự động trang bị vũ khí cho từng dân làng
auto_equip_shield,0,,Quản lý Shield
auto_equip_shield_info,0,,Đặt autoequip shield cho each Dân làng
auto_equip_headware,0,,Quản lý Headgear
auto_equip_headware_info,0,,Đặt autoequip headgear cho each Dân làng
auto_equip_apparel,0,,Quản lý Apparel
auto_equip_apparel_info,0,,Đặt autoequip clothing cho each Dân làng
auto_equip_armor,0,,Quản Lý Trang Bị Giáp Trụ
auto_equip_armor_info,0,,Thiết lập quy tắc tự động mặc giáp trụ cho từng dân làng
restrict_food,0,,Quản lý Food
restrict_food_info,0,,Thiết lập loại thực phẩm mà mỗi dân làng được phép ăn
restrict_stimulants,0,,Quản lý Stimulants
restrict_stimulants_info,0,,Thiết lập loại chất kích thích mà mỗi dân làng được phép sử dụng
profile,0,,Hồ sơ cá nhân
edit_Weapons_profiles,0,,Chỉnh Sửa Hồ Sơ Vũ Khí
edit_Shields_profiles,0,,Chỉnh sửa Shield Profiles
edit_Headware_profiles,0,,Chỉnh sửa Headgear Profiles
edit_Armor_profiles,0,,Chỉnh Sửa Hồ Sơ Giáp Trụ
edit_Apparel_profiles,0,,Chỉnh sửa Apparel Profiles
edit_Food_profiles,0,,Chỉnh sửa Food Profiles
edit_Alcohol_profiles,0,,Chỉnh sửa Alcohol Profiles
manageDefaultPreset_weapon_shield_all,0,,Mọi Loại Vũ Khí
manageDefaultPreset_weapon_shield_none,0,,Không Dùng Vũ Khí
manageDefaultPreset_weapon_shield_melee_onehanded,0,,Cận chiến một tay
manageDefaultPreset_weapon_shield_melee_twohanded,0,,Cận chiến hai tay
manageDefaultPreset_weapon_shield_ranged,0,,Tầm xa
manageDefaultPreset_weapon_shield_melee_onehanded_shield,0,,Cận chiến một tay + khiên
manageDefaultPreset_apparel_clothing_only,0,,Chỉ mặc quần áo
manageDefaultPreset_weapon_all,0,,Mọi vũ khí
manageDefaultPreset_weapon_none,0,,Không vũ khí
manageDefaultPreset_weapon_melee_onehanded,0,,Cận chiến một tay
manageDefaultPreset_weapon_melee_twohanded,0,,Cận chiến hai tay
manageDefaultPreset_weapon_ranged,0,,Tầm xa
manageDefaultPreset_shield_all,0,,Tất cả Shields
manageDefaultPreset_sheild_none,0,,Không Shields
manageDefaultPreset_headware_all,0,,Tất cả Headgear
manageDefaultPreset_headware_none,0,,Không Headgear
manageDefaultPreset_headware_helmet,0,,Mũ sắt
manageDefaultPreset_headware_cap,0,,Mũ đội đầu
manageDefaultPreset_armor_all,0,,Mọi giáp
manageDefaultPreset_armor_none,0,,Không giáp
manageDefaultPreset_apparel_all,0,,Tất cả Apparel
manageDefaultPreset_apparel_none,0,,Không Apparel
manageDefaultPreset_apparel_winter,0,,Mùa Đông
manageDefaultPreset_apparel_summer,0,,Mùa Hè
manageDefaultPreset_food_all,0,,Tất cả thực phẩm
manageDefaultPreset_food_none,0,,Không ăn gì
manageDefaultPreset_food_raw,0,,Thực phẩm tươi sống
manageDefaultPreset_food_meal,0,,Bữa ăn nấu chín
manageDefaultPreset_food_cannibal,0,,Ăn thịt người
manageDefaultPreset_stimulants_all,0,,Tất cả Stimulants
manageDefaultPreset_stimulants_none,0,,Không Stimulants
auto_equipped,0,,Tự động-equipped
manually_equipped,0,,Bắt buộc trang bị thủ công
object_size,0,,Kết cấu Dimensions
has_stability_to_build,0,,Là connected đến a stable kết cấu
hud_info_hide_zoneGrid,0,,Hiển thị lưới màu phân định các khu vực.
resource_group_FoodStimulants,0,,Chất kích thích
action_ToggleForbid,0,,Bật/tắt cho phép/cấm
action_ToggleUrgent,0,,Bật/tắt vận chuyển khẩn
thermal_insulation,0,,Cách nhiệt
thermal_emission,0,,Nóng output
room_types_legend,0,,Chú Giải Phân Loại Phòng
historical_records_title,0,,Hồ sơ lịch sử
statistics_title,0,,Số liệu thống kê
history_title,0,,Biên Niên Sử
PopulationCount_title,0,,Số lượng dân cư
ResourceWealth_title,0,,Giá trị tài nguyên
BuildingWealth_title,0,,Giá trị công trình
TotalWealth_title,0,,Tổng tài sản
FoodAmount_title,0,,Lương thực lưu trữ
MoodAverage_title,0,,Tâm trạng dân làng
PopulationCount_info,0,,Tổng số dân định cư hiện đang sinh sống tại ngôi làng.
ResourceWealth_info,0,,Tổng giá trị tài sản của toàn bộ tài nguyên theo thời gian
BuildingWealth_info,0,,Tổng giá trị mọi công trình theo thời gian
TotalWealth_info,0,,"Tổng giá trị vật chất của công trình, vật phẩm và tài nguyên tích lũy."
FoodAmount_info,0,,Số lượng khẩu phần ăn hiện có trong các kho lưu trữ.
MoodAverage_info,0,,Tâm trạng trung bình theo thời gian
play_time,0,,Thời gian đã chơi
days_from_start,0,,Days từ start
lost_villagers,0,,Lost Dân làng
max_villagers,0,,Max Dân làng
raids_won,0,,Đột kích thắng lợi
raids_lost,0,,Đột kích thất bại
enemies_killed,0,,Kẻ thù killed
enemies_total,0,,Kẻ thù total
villagers_died,0,,dân làng lost
buildings_destroyed,0,,Công trình bị phá hủy
enemy_buildings_destroyed,0,,Công trình bị phá hủy
raid_time,0,,Thời gian giao chiến
most_damage_delt,0,,Greatest sát thương dealt bởi
worker_banish_event_log_type,0,,Dân làng bị trục xuất
worker_banish_event_log_title,0,,Lệnh trục xuất <name>
